12:19:56  |  Core  |  Info  |  * Initialise: ToolTipManager  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  26
12:19:56  |  Core  |  Info  |  ToolTipManager successfully initialized  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  38
12:19:56  |  Core  |  Info  |  Gui successfully initialized  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_Gui.cpp  |  93
12:19:56  |  Core  |  Info  |  ResourceTrueTypeFont: Font '' using texture size 256 x 256.  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  761
12:19:56  |  Core  |  Info  |  ResourceTrueTypeFont: Font '' using real height 16 pixels.  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  765
12:19:56  |  Core  |  Info  |  ResourceTrueTypeFont: Font '' using texture size 512 x 512.  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  761
12:19:56  |  Core  |  Info  |  ResourceTrueTypeFont: Font '' using real height 32 pixels.  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  765
12:19:56  |  Core  |  Info  |  Load ini file 'skins.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'core.skin'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_resources.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_text.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_windows.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_button.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
12:19:56  |  Core  |  Info  |  Load ini file 'openmw_list.skin.xml'  |  /usr/src/debug/mygui/mygui-MyGUI3.4.3/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  115
